Feature	Gain	Cover	Frequency
Visa_mpagospesos	0.00162396631963734	0.00268203855352617	0.00484988452655889
canarito3	0.00162276459051798	0.00172609149208031	0.00427251732101617
tmobile_app_delta1	0.00161037671630816	0.00766819702968722	0.00161662817551963
canarito46	0.00159847729960615	0.00256717780044145	0.00369515011547344
mcaja_ahorro_dolares	0.00159154857776662	0.00262422333616796	0.00277136258660508
canarito68	0.00159099914567368	0.00262521328038881	0.00300230946882217
canarito74	0.00158728100472794	0.00215610098787276	0.00415704387990762
cmobile_app_trx	0.00157993987204368	0.0021411330312535	0.00254041570438799
Visa_mconsumospesos_lag1	0.00157878064177733	0.00227025393083958	0.0035796766743649
Visa_Fvencimiento	0.0015725606350914	0.00223076010614875	0.00346420323325635
canarito25	0.00156907267587594	0.00200126381228955	0.00392609699769053
ctarjeta_debito_transacciones	0.00156865369192498	0.00363217464239564	0.00450346420323326
canarito11	0.00156744299579444	0.00178914598922738	0.00404157043879908
canarito89	0.00155129583790505	0.00239906299799608	0.00427251732101617
canarito90	0.00152101237589935	0.00428881949324904	0.00369515011547344
Master_Fvencimiento_lag1	0.00151665475298454	0.00139526945749597	0.00392609699769053
mcomisiones_delta1	0.00150430639454911	0.00318637306142007	0.00288683602771363
canarito51	0.00149819421615731	0.00254218665858608	0.00381062355658199
Master_msaldototal	0.00148249209379315	0.00241251633995744	0.00254041570438799
cextraccion_autoservicio	0.00148098366141753	0.00127988650883474	0.001270207852194
canarito66	0.00148051898617227	0.00143964618205614	0.00346420323325635
Master_status_delta1	0.00147912748128902	0.00194522059508665	0.00069284064665127
canarito24	0.00147494040272469	0.00189262485863287	0.00392609699769053
canarito81	0.00147198023302473	0.00227516652903555	0.00369515011547344
mtransferencias_emitidas_delta1	0.00145747797807849	0.00437971864646808	0.00323325635103926
canarito70	0.00143583489689963	0.00138096476350468	0.00369515011547344
mcaja_ahorro_dolares_lag1	0.00142878792193344	0.00367924154037598	0.00404157043879908
canarito33	0.00142088483495646	0.00196083449031002	0.00415704387990762
mtransferencias_recibidas_delta1	0.00141585915607622	0.00319475541411013	0.00346420323325635
Visa_msaldopesos_delta1	0.00141126671500804	0.00174674915310891	0.00288683602771363
mdescubierto_preacordado	0.00139425725858577	0.00758563320680774	0.00207852193995381
mcuentas_saldo_lag1	0.00139341184685293	0.00187477121460983	0.00334872979214781
Visa_mconsumospesos	0.00139259132998356	0.00279732250776531	0.00381062355658199
canarito49	0.00138594699991702	0.00235657459203718	0.00392609699769053
canarito65	0.0013848658909546	0.00272686322784628	0.00381062355658199
Visa_mconsumospesos_delta1	0.00138268280029037	0.00144442761264285	0.00346420323325635
canarito54	0.00138195744227829	0.0017742720773091	0.00404157043879908
Visa_mlimitecompra_lag1	0.00138138988098897	0.00206385303565282	0.00346420323325635
Visa_mlimitecompra	0.00138137308254718	0.00189343908775452	0.00277136258660508
cprestamos_personales	0.00137294027501435	0.00124582500305583	0.00138568129330254
canarito13	0.00136890434497744	0.0019634355687503	0.00334872979214781
canarito12	0.0013573320748851	0.00242687548088087	0.00392609699769053
canarito55	0.00135535775630386	0.00163150727149916	0.00392609699769053
canarito48	0.00135502607074924	0.00180289631445499	0.0035796766743649
canarito67	0.00135219687404116	0.00124228347760574	0.00323325635103926
canarito52	0.00134006728008388	0.00139486110550486	0.00369515011547344
canarito44	0.00133197817713017	0.00165424876511264	0.00334872979214781
canarito36	0.00133013113872406	0.00153329243048803	0.00323325635103926
numero_de_cliente	0.00132854764811603	0.00265089243347767	0.00346420323325635
cproductos_lag1	0.00132145363113725	0.0018520841679285	0.00242494226327945
canarito72	0.00132079329350085	0.00171509816150777	0.00346420323325635
cplazo_fijo	0.00131550145672015	0.00631729687216977	0.00161662817551963
canarito26	0.00130819590287322	0.00255185841362379	0.00369515011547344
canarito76	0.00129947174754962	0.00218212662143892	0.0035796766743649
Visa_cconsumos_delta1	0.0012944319236668	0.00170476809356319	0.00219399538106236
canarito4	0.00127656747762844	0.00200410247734284	0.0035796766743649
canarito14	0.00127370067490823	0.00187056890139232	0.00404157043879908
mcuenta_corriente_lag1	0.00123761721867218	0.00149740942734276	0.00219399538106236
canarito40	0.00123284241791692	0.00192392194517506	0.00334872979214781
canarito34	0.00122119584410745	0.00504104345862554	0.0035796766743649
canarito18	0.00121859972466046	0.0021148203138633	0.00404157043879908
canarito23	0.00121400555547399	0.0019843308163919	0.00334872979214781
mpagomiscuentas_delta1	0.00121262327692109	0.00634542118748413	0.00173210161662818
canarito79	0.00121207711988763	0.00162968824899334	0.00346420323325635
canarito37	0.00119944453880553	0.00165186547440095	0.00346420323325635
canarito8	0.00119469322144206	0.0016248003994029	0.00311778290993072
canarito1	0.00119296517562966	0.00128115611229799	0.00311778290993072
canarito63	0.00117550460489679	0.00163620703168764	0.00311778290993072
canarito62	0.001164402177845	0.00159081808916165	0.00300230946882217
Master_msaldopesos	0.00114143744526258	0.00247521198232445	0.00196304849884527
canarito17	0.00114051874716498	0.00213718562867286	0.00288683602771363
canarito28	0.00113680449823236	0.002025071970801	0.00300230946882217
canarito19	0.0011266743058177	0.00119620157412515	0.00300230946882217
canarito71	0.00110997634943707	0.00277992423808386	0.00346420323325635
Master_mlimitecompra	0.00109193093508755	0.00294489844248858	0.0035796766743649
canarito78	0.00109042126010372	0.00164544073640763	0.00265588914549654
canarito5	0.00108197263253476	0.00103983245986017	0.00334872979214781
Visa_msaldototal_delta1	0.00106338336617915	0.0012783174472447	0.00254041570438799
mautoservicio_delta1	0.0010451829437836	0.00259263916580172	0.00219399538106236
canarito73	0.00104425821409317	0.00378261151591718	0.00277136258660508
mautoservicio_lag1	0.00102506136657456	0.00353630844404849	0.00565819861431871
Visa_status_delta1	0.00101734209010379	0.00153967757071252	0.00046189376443418
mextraccion_autoservicio_lag1	0.00100978045096951	0.00310653406000849	0.00242494226327945
mcomisiones_otras_delta1	0.00100970990132806	0.00181539683510378	0.00254041570438799
mtransferencias_emitidas	0.00100680285140343	0.001463402368496	0.00254041570438799
Visa_mpagospesos_delta1	0.00100242389221838	0.00192511977768229	0.00242494226327945
ctransferencias_emitidas	0.00099905427698665	0.00109266330806641	0.00196304849884527
Visa_mpagominimo_delta1	0.000970049938451406	0.00121631971555339	0.0023094688221709
tmobile_app	0.000961589319751083	0.00531469373959522	0.00103926096997691
Visa_mfinanciacion_limite_lag1	0.000948322668329143	0.00096560644218081	0.00207852193995381
mtarjeta_visa_consumo_delta1	0.00093309510996784	0.00188264869574725	0.00184757505773672
cliente_antiguedad	0.000921879861034499	0.00226552694718502	0.00300230946882217
canarito7	0.00091972504758743	0.0020349664632884	0.00277136258660508
canarito69	0.000918856324636289	0.000910327956888523	0.00254041570438799
canarito21	0.000916615808232876	0.00165548372052815	0.0023094688221709
mcuenta_debitos_automaticos_delta1	0.000900381391914788	0.00675738647499103	0.00207852193995381
ccomisiones_otras_lag1	0.000868666696531171	0.00235983893310544	0.00219399538106236
chomebanking_transacciones_delta1	0.000862119919643929	0.0025936018865565	0.00323325635103926
Master_mfinanciacion_limite	0.000854071817367172	0.00137696786371299	0.00288683602771363
Visa_mconsumototal_lag1	0.000844511673238459	0.00163912241741805	0.00219399538106236
mcuenta_debitos_automaticos_lag1	0.000820574450872269	0.0021605656363088	0.00242494226327945
mcaja_ahorro_dolares_delta1	0.000818845516698482	0.00220727120464852	0.00219399538106236
ccajas_consultas	0.000818588042484039	0.0037154165770664	0.00092378752886836
canarito60	0.000803105482089299	0.00089792643066182	0.00219399538106236
ctarjeta_master	0.000802289862309316	0.000544461896886074	0.000577367205542725
cextraccion_autoservicio_lag1	0.000797792171909737	0.00130510038813981	0.00184757505773672
mttarjeta_visa_debitos_automaticos_delta1	0.000790115969860284	0.00463397344529075	0.00161662817551963
ctarjeta_debito_transacciones_delta1	0.000776273487845762	0.00493523327057994	0.00207852193995381
Master_mpagominimo	0.000752004679958553	0.00239604366812249	0.00161662817551963
tcallcenter_delta1	0.00074946247602762	0.0024336615485148	0.00103926096997691
mtarjeta_master_consumo	0.000748140202962374	0.00178367902226773	0.00115473441108545
canarito82	0.000736683009605915	0.00113600306605524	0.00219399538106236
mcomisiones_mantenimiento_lag1	0.000730732271204567	0.00166173026856172	0.00184757505773672
mttarjeta_visa_debitos_automaticos	0.000721660209626024	0.00212793459992902	0.00254041570438799
ccallcenter_transacciones_lag1	0.000711444936027227	0.00166896181109503	0.00115473441108545
ccuenta_debitos_automaticos	0.000695984543220339	0.000978896443345727	0.00138568129330254
canarito64	0.000686897425186063	0.00126512396564131	0.0023094688221709
ccajas_transacciones	0.000683176289111343	0.00272645240099463	0.00092378752886836
cpayroll_trx_delta1	0.000676702300402625	0.00260016026701963	0.001270207852194
canarito43	0.00066934793444539	0.000587932822484167	0.00184757505773672
Master_mfinanciacion_limite_lag1	0.000667018532739927	0.00117387585708443	0.00196304849884527
ctarjeta_visa_transacciones_lag1	0.000661052194849427	0.0029143561884148	0.00381062355658199
ctarjeta_master_transacciones	0.000626140942811464	0.00111626605315204	0.00092378752886836
thomebanking_lag1	0.000611306122913716	0.000378099295711609	0.00092378752886836
Visa_cconsumos_lag1	0.000606726286437293	0.00116080611850865	0.00311778290993072
cmobile_app_trx_lag1	0.000600029632745933	0.0004812836567114	0.00103926096997691
ccaja_seguridad	0.000596219265768696	0.00370020360925248	0.00103926096997691
ctransferencias_recibidas	0.000589034323287679	0.000332792023583837	0.00092378752886836
Visa_mlimitecompra_delta1	0.000582203397551221	0.00155753121473556	0.00092378752886836
Visa_cconsumos	0.000550342039738536	0.00101242090438483	0.00196304849884527
mtransferencias_emitidas_lag1	0.000545563654190158	0.00181802018728903	0.00311778290993072
mpagomiscuentas_lag1	0.000538735425719096	0.00110008788972279	0.001270207852194
Master_mpagospesos	0.000534497537096632	0.00101627673712504	0.00115473441108545
mplazo_fijo_dolares_lag1	0.000520210246899424	0.00115361417374417	0.00069284064665127
mextraccion_autoservicio	0.000512516245415652	0.0011041194375622	0.00115473441108545
Visa_mconsumototal_delta1	0.000478290989120717	0.000858771661866634	0.001270207852194
Master_msaldopesos_lag1	0.000464346451807497	0.000672969031055219	0.00103926096997691
ctransferencias_emitidas_lag1	0.000456190328568761	0.000761846223203169	0.001270207852194
ctransferencias_recibidas_lag1	0.000451176332204983	0.00126709890436191	0.00184757505773672
Master_msaldototal_lag1	0.000433182649987317	0.000306226870417316	0.000808314087759815
ctarjeta_debito_transacciones_lag1	0.000411464965309337	0.00342187336697873	0.0046189376443418
Master_mpagospesos_lag1	0.000409067445890344	0.000796855600573544	0.000808314087759815
Master_cconsumos	0.000406459324524257	0.000822574351431238	0.001270207852194
Master_mlimitecompra_lag1	0.000399655192729631	0.00117139357195064	0.00138568129330254
canarito41	0.000398833478471293	0.00108451854198936	0.00173210161662818
cprestamos_personales_delta1	0.000398703498576024	0.00215685334548061	0.00046189376443418
matm	0.000390886101677224	0.000512365430385551	0.00103926096997691
Master_cconsumos_lag1	0.000389503934843335	0.000639761352166791	0.00103926096997691
Master_mfinanciacion_limite_delta1	0.000383116636965656	0.00058300042540378	0.00092378752886836
Master_msaldopesos_delta1	0.000382196041042683	0.000525880643860711	0.000577367205542725
ctarjeta_visa	0.000376487528102459	0.000534381789857264	0.000346420323325635
ccaja_seguridad_lag1	0.000374334135701109	0.00176620898163027	0.00069284064665127
mtarjeta_visa_consumo_lag1	0.000374264917214593	0.00117546471755889	0.00265588914549654
Visa_mconsumosdolares	0.000357325092365503	0.000563812831543147	0.00115473441108545
ccajas_transacciones_delta1	0.00033986659997553	0.00156900219339466	0.00046189376443418
Visa_mpagado_delta1	0.000337635962486947	0.000655063414960587	0.00069284064665127
ctarjeta_visa_debitos_automaticos_lag1	0.000335017346000499	0.000797056064278266	0.00115473441108545
ctarjeta_debito	0.000323688758662802	0.00028101794083336	0.000577367205542725
Master_mconsumospesos_delta1	0.000307565268261207	0.000673614969659323	0.00092378752886836
ccomisiones_mantenimiento_lag1	0.000307385276899844	0.000787196219838596	0.00069284064665127
mcuenta_corriente_delta1	0.000307347102571907	0.00142599732611116	0.001270207852194
mttarjeta_visa_debitos_automaticos_lag1	0.000304114769764104	0.000637509229064356	0.00161662817551963
Master_mconsumospesos	0.000290614893186935	0.000631485418480482	0.00115473441108545
ccomisiones_otras_delta1	0.000290171036884434	0.000925805734781519	0.000808314087759815
